"","Title","Path","Box","Distrubutor","Release Date","Genre","Runtime","MPAA","Budget","Director"
"406","Yakuza Apocalypse","/movies/?id=yakuzaapocalypse.htm",12756,"Samuel Goldwyn","October","Action Comedy",125,"R",NA,"Takashi Miike"
"407","Virginia","/movies/?id=virginia.htm",12728,"Entertainment One","May","Drama",110,"R",NA,"Dustin Lance Black"
"408","BoyBand (2013)","/movies/?id=boyband13.htm",12708,"Indican","October","Comedy",98,"Unrated",NA,NA
"409","Cobra Verde (re-issue)","/movies/?id=cobraverde.htm",12702,"518 Media","March","Foreign",111,"Unrated",NA,"Werner Herzog"
"410","Concerning Violence","/movies/?id=concerningviolence.htm",12680,"Kino Lorber","December","Documentary",78,"Unrated",NA,NA
"411","Special ID","/movies/?id=specialid.htm",12666,"Well Go USA","March","Foreign / Action",99,"R",NA,NA
"412","Backstage (2006)","/movies/?id=backstage06.htm",12663,"Strand","November","Foreign",115,"Unrated",NA,NA
"413","Autumn","/movies/?id=autumn.htm",12655,"Truly Indie","June","Foreign",110,"Unrated",NA,NA
"414","August","/movies/?id=august08.htm",12636,"First Look","July","Drama",88,"R",NA,NA
"415","Bhopal: A Prayer for Rain","/movies/?id=bhopal.htm",12628,"Revolver","November","Drama",96,"Unrated",NA,NA
"416","Boy Meets Girl","/movies/?id=boymeetsgirl.htm",12589,"Carlotta Films","August","Foreign",100,"Unrated",NA,NA
"417","Around June","/movies/?id=aroundjune.htm",12578,"Indican","February","Fantasy Drama",93,"Unrated",NA,NA
"418","The Photographer, His Wife, Her Lover","/movies/?id=photographerhiswifeherlover.htm",12546,"Icarus Films","July","Documentary",80,"Unrated",NA,NA
"419","The Monster (2016)","/movies/?id=monster2016.htm",12544,"A24","November","Horror",91,"R",NA,"Bryan Bertino"
"420","Jake's Corner","/movies/?id=jakescorner.htm",12522,"Emerging Pictures","September","Comedy / Drama",96,"PG",NA,NA
"421","City of Women (2016 re-issue)","/movies/?id=cityofwomen2016.htm",12516,"Cohen Media Group","February","Comedy / Drama",139,"R",NA,"Federico Fellini"
"422","The Ones Below","/movies/?id=theonesbelow.htm",12488,"Magnolia","May","Thriller",87,"R",NA,NA
"423","Kiki, Love to Love","/movies/?id=kiki,lovetolove.htm",12450,"Strand","November","Comedy",102,"Unrated",NA,NA
"424","10,000 Km","/movies/?id=10000km.htm",12423,"Broad Green Pictures","July","Comedy / Drama",99,"R",NA,NA
"425","For Ellen","/movies/?id=forellen.htm",12396,"Tribeca Film","September","Drama",94,"Unrated",NA,NA
"426","America the Beautiful 2: The Thin Commandments","/movies/?id=americathebeautiful2.htm",12366,"PMK*BNC","October","Documentary",NA,"Unrated",NA,NA
"427","Rebirth","/movies/?id=rebirth.htm",12358,"Oscilloscope Pictures","August","Documentary",105,"Unrated",NA,NA
"428","Grassroots","/movies/?id=grassroots.htm",12356,"Samuel Goldwyn","June","Comedy / Drama",NA,"R",NA,NA
"429","Backseat","/movies/?id=backseat.htm",12343,"Truly Indie","March","Comedy",80,"Unrated",NA,NA
"430","Full Battle Rattle","/movies/?id=fullbattlerattle.htm",12306,"Mile End Films","July","Documentary",92,"Unrated",NA,NA
"431","The Armor of Light","/movies/?id=thearmoroflight.htm",12267,"Fork Films","October","Documentary",90,"PG-13",NA,"Abigail Disney"
"432","Arabian Nights: Volume 1 - The Restless One","/movies/?id=arabiannightsvol1.htm",12260,"Kino Lorber","December","Drama",125,"Unrated",NA,NA
"433","Wa-shoku: Beyond Sushi","/movies/?id=washoku.htm",12240,"Under the Milky Way","April","Documentary",107,"Unrated",NA,NA
"434","The Selfish Giant","/movies/?id=selfishgiant.htm",12189,"IFC","December","Drama",85,"Unrated",NA,NA
"435","China Blue","/movies/?id=chinablue.htm",12185,"Argot Pictures","January","Documentary",86,"Unrated",NA,NA
"436","Elstree 1976","/movies/?id=elstree1976.htm",12173,"FilmRise","May","Documentary",101,"Unrated",NA,NA
"437","Touch the Wall","/movies/?id=touchthewall.htm",12156,"Touch the Wall, LLC","November","Documentary",108,"Unrated",NA,NA
"438","Fritz Lang's Destiny (2016 re-release)","/movies/?id=fritzlangsdestiny2016.htm",12156,"Kino Lorber","May","Fantasy",98,"Unrated",NA,"Fritz Lang"
"439","Shahid","/movies/?id=shahid.htm",12153,"UTV Communications","October","Foreign",105,"Unrated",NA,NA
"440","Back Door Channels","/movies/?id=backdoorchannels.htm",12139,"Fisher-Klingenstein Films","September","Documentary",95,"Unrated",NA,NA
"441","Wolves","/movies/?id=wolves.htm",12139,"Ketchup Entertainment","November","Action Horror",91,"R",NA,NA
"442","If I Want to Whistle, I Whistle","/movies/?id=wanttowhistle.htm",12135,"Film Movement","January","Foreign",94,"Unrated",NA,NA
"443","In No Great Hurry: 13 Lessons in Life with Saul Leiter","/movies/?id=innogreathurry.htm",12133,"mTuckman Media","January","Documentary",75,"Unrated",NA,NA
"444","Hot Water","/movies/?id=hotwater.htm",12101,"Indican","March","Documentary",80,"Unrated",NA,NA
"445","Murder in the Park","/movies/?id=murderinthepark.htm",12088,"IFC","June","Documentary",91,"PG-13",NA,NA
"446","When Two Worlds Collide","/movies/?id=whentwoworldscollide.htm",12080,"First Run","August","Documentary",103,"Unrated",NA,NA
"447","Little England","/movies/?id=littleengland.htm",12077,"Corinth Films","May","Drama",132,"Unrated",NA,"Pantelis Voulgaris"
"448","The French Minister","/movies/?id=frenchminister.htm",12027,"IFC","March","Foreign",113,"Unrated",NA,NA
"449","Lost Angels: Skid Row is My Home","/movies/?id=lostangels2012.htm",12025,"Cinema Libre Studio","December","Documentary",NA,"Unrated",NA,NA
"450","Queen Margot (2014 re-release)","/movies/?id=queenmargot2014.htm",12005,"Cohen Media Group","May","Foreign",NA,"R",NA,NA
"451","Deep Gold","/movies/?id=deepgold.htm",12000,"Bigfoot Ascendant","April","Action",83,"PG-13",NA,NA
"452","Kill Zone 2","/movies/?id=killzone2.htm",11998,"Well Go USA","May","Action / Adventure",118,"Unrated",NA,NA
"453","Last Stop for Paul","/movies/?id=laststopforpaul.htm",11951,"Mandt Bros. Productions","March","Comedy",83,"PG-13",NA,NA
"454","The Go-Getter","/movies/?id=gogetter.htm",11931,"Peace Arch Entertainment","June","Comedy / Drama",93,"R",NA,NA
"455","In the Fog","/movies/?id=inthefog.htm",11894,"Strand","June","Foreign",128,"Unrated",NA,NA
"456","Of Horses and Men","/movies/?id=ofhorsesandmen.htm",11894,"Music Box Films","March","Foreign",81,"Unrated",NA,NA
"457","Vengeance Is Mine (re-issue)","/movies/?id=vengeanceismine07.htm",11891,"Janus Films","March","Foreign",129,"Unrated",NA,NA
"458","Quid Pro Quo","/movies/?id=quidproquo.htm",11864,"Magnolia","June","Thriller",82,"R",NA,NA
"459","Revenge of the Mekons","/movies/?id=revengeofthemekons.htm",11861,"Music Box Films","October","Documentary",95,"Unrated",NA,NA
"460","Contre-Enquete","/movies/?id=contre-enquete.htm",11846,"Alliance","February","Foreign",85,"Unrated",NA,NA
"461","Dreams Rewired","/movies/?id=dreamsrewired.htm",11843,"Icarus Films","November","Documentary",85,"Unrated",NA,NA
"462","Emptying the Skies","/movies/?id=emptyingtheskies.htm",11811,"Music Box Films","April","Documentary",77,"Unrated",NA,NA
"463","Woman Is the Future of Man","/movies/?id=womanisthefutureofman.htm",11807,"New Yorker","March","Foreign",88,"Unrated",NA,NA
"464","Falcon Rising","/movies/?id=falconrising.htm",11774,"Freestyle Releasing","September","Action / Adventure",103,"R",NA,"Ernie Barbarash"
"465","Blockade","/movies/?id=blockade.htm",11750,"Icarus Films","March","Documentary",52,"Unrated",NA,NA
"466","Rid of Me","/movies/?id=ridofme.htm",11740,"Submarine Deluxe","November","Comedy",90,"Unrated",NA,NA
"467","Lucha Mexico","/movies/?id=luchamexico.htm",11722,"Kino Lorber","July","Documentary",103,"Unrated",NA,NA
"468","Marie's Story","/movies/?id=mariesstory.htm",11720,"Film Movement","May","Foreign",95,"Unrated",NA,NA
"470","Charlie Countryman","/movies/?id=charliecountryman.htm",11650,"Millennium Ent.","November","Drama",103,"R",NA,NA
"471","36 Saints","/movies/?id=36saints.htm",11640,"Active Fox Productions","September","Thriller",NA,"R",NA,NA
"472","Life of Riley","/movies/?id=lifeofriley.htm",11616,"Kino Lorber","October","Foreign",108,"Unrated",NA,NA
"473","Angels in the Dust","/movies/?id=angelsinthedust.htm",11606,"Cinema Libre Studio","September","Documentary",95,"Unrated",NA,NA
"474","Living is Easy with Eyes Closed","/movies/?id=livingiseasy.htm",11600,"Outsider Pictures","June","Foreign",108,"Unrated",NA,NA
"475","Operation Filmmaker","/movies/?id=operationfilmmaker.htm",11573,"Icarus Films","June","Documentary",95,"Unrated",NA,NA
"476","River of Grass","/movies/?id=riverofgrass.htm",11553,"Oscilloscope Pictures","March","Drama",81,"Unrated",NA,"Kelly Reichardt"
"477","East of Havana","/movies/?id=eastofhavana.htm",11550,"Sony BMG","February","Documentary",81,"Unrated",NA,NA
"478","The Ruins of Lifta","/movies/?id=theruinsoflifta.htm",11548,"First Run","September","Documentary",77,"Unrated",NA,NA
"479","Kidnapping of Michel Houellebecq","/movies/?id=kidnappingofmichelhouellebecq.htm",11546,"Kino Lorber","March","Comedy Thriller",96,"Unrated",NA,NA
"480","Ultrasuede","/movies/?id=ultrasuede.htm",11539,"Tribeca Film","January","Documentary",85,"Unrated",NA,NA
"481","Elektra Luxx","/movies/?id=elektraluxx.htm",11514,"Samuel Goldwyn","March","Comedy",100,"R",NA,NA
"482","You're Not You","/movies/?id=yourenotyou.htm",11486,"Entertainment One","October","Drama",104,"R",NA,NA
"483","Waltzing Anna","/movies/?id=waltzinganna.htm",11455,"Kindred Media Group","August","Comedy",88,"PG-13",NA,NA
"484","Whole New Thing","/movies/?id=wholenewthing.htm",11445,"Picture This!","April","Comedy / Drama",92,"Unrated",NA,NA
"485","Sputnik Mania","/movies/?id=sputnikmania.htm",11441,"Balcony Releasing","March","Documentary",92,"Unrated",NA,NA
"486","Gardens of the Night","/movies/?id=gardensofthenight.htm",11436,"City Lights Pictures Releasing","November","Drama",110,"R",NA,NA
"487","The Great Invisible","/movies/?id=greatinvisible.htm",11428,"Radius-TWC","October","Documentary",92,"PG-13",NA,NA
"488","The Final Member","/movies/?id=finalmember.htm",11428,"Drafthouse","April","Documentary",75,"R",NA,NA
"489","Just Like a Woman","/movies/?id=justlikeawoman.htm",11403,"Cohen Media Group","July","Drama",106,"R",NA,NA
"490","Verdict on Auschwitz","/movies/?id=verdictonauschwitz.htm",11396,"First Run","January","Documentary",180,"Unrated",NA,NA
"491","The Amazing Catfish","/movies/?id=amazingcatfish.htm",11342,"Strand","June","Foreign",89,"Unrated",NA,NA
"492","Viktoria","/movies/?id=viktoria.htm",11314,"Big World Pictures","April","Drama",155,"Unrated",NA,NA
"493","Otto; or, Up with the Dead People","/movies/?id=ottoorupwiththedeadpeople.htm",11295,"Strand","November","Horror Comedy",95,"Unrated",NA,NA
"494","The Devil's Violinist","/movies/?id=devilsviolinist.htm",11294,"Freestyle Releasing","January","Music Drama",122,"R",NA,NA
"495","Live Freaky! Die Freaky!","/movies/?id=livefreakydiefreaky.htm",11290,"Wellspring","January","Animation",80,"Unrated",NA,NA
"496","Dishkiyaoon","/movies/?id=dishkiyaoon.htm",11288,"Eros","March","Foreign",110,"Unrated",NA,NA
"497","Jeruzalem","/movies/?id=jeruzalem.htm",11287,"Epic Pictures","January","Horror",94,"R",NA,NA
"498","Theo Who Lived","/movies/?id=theowholived.htm",11271,"Zeitgeist","October","Documentary",86,"Unrated",NA,NA
"499","Policeman","/movies/?id=policeman.htm",11263,"Corinth Films","June","Foreign",105,"Unrated",NA,NA
"500","Anonymous (2016)","/movies/?id=anonymous2016.htm",11239,"Archstone","December","Drama",95,"R",NA,NA
"501","Fat Girls","/movies/?id=fatgirls.htm",11204,"Regent Releasing","October","Comedy",82,"R",NA,NA
"502","So Young","/movies/?id=soyoung.htm",11186,"China Lion","June","Foreign",134,"Unrated",NA,NA
"503","Lost in Beijing","/movies/?id=lostinbeijing.htm",11163,"New Yorker","January","Foreign",112,"Unrated",NA,NA
"504","Greetings from Tim Buckley","/movies/?id=greetingsfromtimbuckley.htm",11157,"Tribeca Film","May","Drama",99,"Unrated",NA,NA
"505","Now, Forager","/movies/?id=nowforager.htm",11146,"Argot Pictures","October","Drama",93,"Unrated",NA,NA
"506","Dragon (2012)","/movies/?id=dragon2012.htm",11137,"Radius-TWC","November","Foreign / Action",97,"R",NA,NA
"507","InSight","/movies/?id=insight.htm",11100,"Check Entertainment","September","Drama",92,"R",NA,NA
"508","The Woman with the Five Elephants","/movies/?id=womanwiththefiveelephants.htm",11026,"Cinema Guild","July","Foreign",NA,"Unrated",NA,NA
"509","Pay 2 Play: Democracy's High Stakes","/movies/?id=pay2play.htm",11021,"Shoot First Inc.","September","Documentary",89,"Unrated",NA,NA
"510","The Front Line","/movies/?id=frontline.htm",11018,"Well Go USA","January","Foreign / Action",132,"Unrated",NA,NA
"511","The Conrad Boys","/movies/?id=conradboys.htm",11001,"Newport Films","June","Drama",94,"Unrated",NA,NA
"512","1001 Grams","/movies/?id=1001grams.htm",10983,"Kino Lorber","May","Drama",93,"Unrated",NA,NA
"513","Tales of the Night","/movies/?id=talesofthenight.htm",10975,"GKIDS","September","Animation",84,"Unrated",NA,NA
"514","Just Before I Go","/movies/?id=justbeforeigo.htm",10970,"Anchor Bay Films","April","Comedy",92,"R",NA,"Courteney Cox"
"515","Digging Up the Marrow","/movies/?id=diggingupthemarrow.htm",10969,"Hacienda","February","Fantasy Drama",88,"Unrated",NA,NA
"516","Henning Mankell's 'Wallander': The Revenge","/movies/?id=wallander.htm",10960,"Music Box Films","May","Foreign",NA,"Unrated",NA,NA
"517","Sarah Palin - You Betcha!","/movies/?id=sarahpalin.htm",10935,"Freestyle Releasing","September","Documentary",90,"Unrated",NA,NA
"518","Belle Toujours","/movies/?id=belletoujours.htm",10921,"New Yorker","June","Foreign",68,"Unrated",NA,NA
"519","The Players","/movies/?id=players14.htm",10854,"Weinstein Company","April","Foreign",109,"R",NA,NA
"520","As It Is In Heaven","/movies/?id=asitisinheaven14.htm",10850,"Unknown","July","Drama",86,"Unrated",NA,NA
"521","What Happened Last Night","/movies/?id=whathappenedlastnight.htm",10844,"Gemelli","November","Comedy",90,"R",NA,NA
"522","Alone with Her","/movies/?id=alonewithher.htm",10787,"IFC","January","Drama / Thriller",79,"Unrated",NA,NA
"523","The Man Who Shook the Hand of Vicente Fernandez","/movies/?id=vicentefernandez.htm",10782,"Indican","December","Comedy / Drama",NA,"Unrated",NA,NA
"524","Mala Mala","/movies/?id=malamala.htm",10761,"Strand","July","Documentary",90,"Unrated",NA,"Antonio Santini"
"525","Special Forces","/movies/?id=specialforces.htm",10759,"Entertainment One","October","Action",109,"R",NA,NA
"526","A Resurrection","/movies/?id=aresurrection.htm",10730,"Archstone","March","Horror Thriller",NA,"R",NA,NA
"527","Freshman Orientation","/movies/?id=freshmanorientation.htm",10718,"Regent Releasing","August","Comedy",91,"R",NA,NA
"528","Magic to Win","/movies/?id=magictowin.htm",10697,"China Lion","December","Foreign",NA,"Unrated",NA,NA
"529","The Pleasure of Being Robbed","/movies/?id=pleasureofbeingrobbed.htm",10687,"IFC","October","Comedy",71,"Unrated",NA,NA
"530","Made in Cleveland","/movies/?id=madeincleveland.htm",10681,"Striped Entertainment","June","Comedy",113,"Unrated",NA,NA
"531","Frankie & Alice","/movies/?id=frankiealice.htm",10670,"Freestyle Releasing","","Drama",102,"R",NA,"Geoffrey Sax"
"532","National Bird","/movies/?id=nationalbird.htm",10656,"FilmRise","November","Documentary",92,"Unrated",NA,NA
"533","Empire of Lust","/movies/?id=empireoflust.htm",10654,"CJ Entertainment","March","Foreign",113,"Unrated",NA,NA
"534","American Meat","/movies/?id=americanmeat.htm",10650,"Leave It Better","April","Documentary",NA,"Unrated",NA,NA
"535","Caucus","/movies/?id=caucus.htm",10645,"Bonfire Films of America","October","Documentary",100,"Unrated",NA,NA
"536","Midget Zombie Takeover","/movies/?id=midgetzombietakeover.htm",10604,"Driving With Our Eyes Shut","February","Horror Comedy",72,"Unrated",NA,NA
"537","Marriage, Italian Style (2011 re-release)","/movies/?id=marriageitaliansty.htm",10600,"Kino Classics","September","Foreign",102,"Unrated",NA,NA
"538","Inside the Mind of Leonardo Da Vinci in 3D","/movies/?id=insideleo.htm",10600,"Submarine Deluxe","December","Documentary",84,"Unrated",NA,NA
"539","whaledreamers","/movies/?id=whaledreamers.htm",10584,"Monterey Media, Inc.","September","Documentary",83,"Unrated",NA,NA
"540","Found Memories","/movies/?id=foundmemories.htm",10575,"Film Movement","June","Foreign",98,"Unrated",NA,NA
"541","China Heavyweight","/movies/?id=chinaheavyweight.htm",10550,"Zeitgeist","July","Documentary",89,"Unrated",NA,NA
"542","White Rainbow","/movies/?id=whiterainbow.htm",10529,"Indican","April","Foreign",94,"PG-13",NA,NA
"543","Splinter (2007)","/movies/?id=splinter.htm",10497,"Magic Lamp","August","Crime Thriller",90,"R",NA,NA
"544","Santa Mesa","/movies/?id=santamesa.htm",10490,"Indican","January","Drama",82,"Unrated",NA,NA
"545","Norte, the End of History","/movies/?id=norte.htm",10457,"Cinema Guild","June","Foreign",250,"Unrated",NA,NA
"546","Evil Intent","/movies/?id=evilintent.htm",10454,"Driving With Our Eyes Shut","June","Thriller",74,"Unrated",NA,NA
"547","Rogue","/movies/?id=rogue.htm",10452,"Third Rail Releasing","April","Horror",92,"R",NA,NA
"548","In the Pit","/movies/?id=inthepit.htm",10433,"Kino","February","Foreign",90,"Unrated",NA,NA
"549","Stray Dogs","/movies/?id=straydogs.htm",10433,"Cinema Guild","September","Foreign",138,"Unrated",NA,NA
"550","Forgiving Dr. Mengele","/movies/?id=forgivingdrmengele.htm",10403,"First Run","February","Documentary",82,"Unrated",NA,NA
"551","Shanghai Calling","/movies/?id=shanghaicalling.htm",10400,"Starz Media","February","Romantic Comedy",98,"PG-13",NA,NA
"552","Elemental","/movies/?id=elemental.htm",10358,"The Film Collaborative","May","Documentary",92,"Unrated",NA,NA
"553","Zero Bridge","/movies/?id=zerobridge.htm",10357,"The Film Desk","February","Foreign",96,"Unrated",NA,NA
"554","The Heir Apparent: Largo Winch","/movies/?id=largowinch.htm",10352,"Music Box Films","November","Foreign",108,"Unrated",NA,NA
"555","Liv & Ingmar","/movies/?id=livingmar.htm",10347,"Janus Films","December","Documentary",89,"Unrated",NA,NA
"556","So Goes the Nation","/movies/?id=sogoesthenation.htm",10337,"IFC","October","Documentary",90,"Unrated",NA,"Adam Del Deo"
"557","Serial Killer 1","/movies/?id=serialkiller1.htm",10330,"Kino Lorber","May","Crime Drama",120,"Unrated",NA,NA
"558","Battle for Haditha","/movies/?id=battleforhaditha.htm",10310,"Lafayette Films","May","War Drama",97,"R",NA,NA
"559","Shepard and Dark","/movies/?id=shepardanddark.htm",10278,"Music Box Films","September","Documentary",92,"Unrated",NA,NA
"560","As It Is in Heaven (2008)","/movies/?id=asitisinheaven.htm",10236,"Vitagraph","May","Unknown",132,"Unrated",NA,NA
"561","The Endless Summer (2014 re-release)","/movies/?id=endlesssummer.htm",10233,"Monterey Media, Inc.","July","Documentary",92,"PG",NA,NA
"562","Approaching the Unknown","/movies/?id=approachingtheunknown.htm",10232,"Independent","June","Sci-Fi Thriller",90,"R",NA,NA
"563","Steel City","/movies/?id=steelcity.htm",10227,"Truly Indie","May","Drama",95,"R",NA,"Brian Jun"
"564","The Prince of the Himalayas","/movies/?id=princeofthehimalayas.htm",10190,"Alive Mind Cinema","December","Foreign",108,"Unrated",NA,NA
"565","Miss Minoes","/movies/?id=missminoes.htm",10189,"Music Box Films","December","Family",88,"PG",NA,NA
"566","Zindagi Rocks","/movies/?id=zindagirocks.htm",10172,"Eros","October","Foreign",NA,"Unrated",NA,NA
"567","The Forecaster","/movies/?id=theforecaster.htm",10172,"Autlook Films","March","Documentary",100,"Unrated",NA,NA
"568","The Tiger and the Snow","/movies/?id=tigerandthesnow.htm",10167,"Strand","December","Foreign",114,"Unrated",NA,"Roberto Benigni"
"569","A Bird of the Air","/movies/?id=abirdoftheair.htm",10152,"Paladin","September","Romantic Comedy",98,"PG-13",NA,NA
"570","Husbands in Goa","/movies/?id=husbandsingoa.htm",10135,"UTV Communications","September","Foreign",140,"Unrated",NA,NA
"571","Beta Test","/movies/?id=betatest.htm",10104,"Mirror Images Ltd.","July","Sci-Fi Action",88,"Unrated",NA,NA
"572","Putin's Kiss","/movies/?id=putinskiss.htm",10082,"Kino Lorber","February","Foreign",85,"Unrated",NA,NA
"573","Before I Disappear","/movies/?id=beforeidisappear.htm",10078,"IFC","November","Comedy / Drama",95,"Unrated",NA,NA
"574","Little Accidents","/movies/?id=littleaccidents.htm",10071,"Amplify","January","Drama",105,"Unrated",NA,NA
"575","The Informant","/movies/?id=informant2013.htm",10068,"Music Box Films","September","Documentary",81,"Unrated",NA,NA
"576","Starry Starry Night","/movies/?id=starrystarrynight.htm",10033,"China Lion","March","Foreign",99,"Unrated",NA,NA
"577","The Mind of Mark DeFriest","/movies/?id=markdefriest.htm",10021,"City Drive Films","March","Documentary",106,"Unrated",NA,NA
"578","Arjun: The Warrior Prince","/movies/?id=arjun-thewarriorprince.htm",10017,"UTV Communications","May","Animation",96,"Unrated",NA,NA
"579","The Do-Deca-Pentathlon","/movies/?id=dodeca.htm",10000,"Red Flag Releasing","July","Comedy",90,"R",NA,"Jay Duplass"
"580","Into the Forest","/movies/?id=intotheforest.htm",9995,"A24","July","Sci-Fi",101,"R",NA,"Patricia Rozema"
"581","Made in France","/movies/?id=madeinfrance.htm",9956,"Under the Milky Way","September","Thriller",89,"Unrated",NA,NA
"582","Wild Tigers I Have Known","/movies/?id=wildtigersihaveknown.htm",9946,"IFC","February","Drama",81,"Unrated",NA,NA
"583","Nina's Heavenly Delights","/movies/?id=ninasheavenlydelights.htm",9936,"Regent Releasing","November","Comedy",96,"PG-13",NA,NA
"584","Solo Con Tu Pareja","/movies/?id=solocontupareja.htm",9915,"IFC","September","Foreign",93,"Unrated",NA,"Alfonso Cuaron"
"585","If I Didn't Care","/movies/?id=ifididntcare.htm",9902,"Elephant Eye Films","August","Thriller",75,"Unrated",NA,NA
"586","In the Name Of","/movies/?id=inthenameof.htm",9883,"Film Movement","October","Foreign",102,"Unrated",NA,NA
"587","A Screaming Man","/movies/?id=ascreamingman.htm",9862,"Film Movement","April","Foreign",92,"Unrated",NA,NA
"588","InchAllah (U.S. only)","/movies/?id=inchallah.htm",9840,"Entertainment One","August","Drama",102,"R",NA,NA
"589","Kabbalah Me","/movies/?id=kabbalahme.htm",9816,"First Run","August","Documentary",80,"Unrated",NA,NA
"590","Birth of the Living Dead","/movies/?id=birthofthelivingdead.htm",9802,"First Run","October","Documentary",76,"Unrated",NA,NA
"591","Marius","/movies/?id=marius.htm",9781,"Kino Lorber","July","Foreign",93,"Unrated",NA,NA
"592","Something to Cheer About","/movies/?id=somethingtocheerabout.htm",9777,"Truly Indie","April","Documentary",80,"Unrated",NA,NA
"593","Post Mortem","/movies/?id=postmortem.htm",9750,"Kino Lorber","April","Foreign",98,"Unrated",NA,NA
"594","Welcome to the Punch","/movies/?id=welcometothepunch.htm",9747,"IFC","March","Thriller",99,"PG-13",NA,"Eran Creevy"
"595","If You Don't, I Will","/movies/?id=ifyoudontiwill.htm",9719,"Film Movement","December","Foreign",102,"Unrated",NA,NA
"596","Antoine and Antoinette (2013 re-issue)","/movies/?id=antoine.htm",9704,"Rialto","September","Foreign",84,"Unrated",NA,NA
"597","Macbeth","/movies/?id=macbeth.htm",9613,"Truly Indie","June","Drama / Thriller",109,"Unrated",NA,NA
"598","The Unknown Soldier","/movies/?id=unknownsoldier.htm",9602,"First Run","September","Documentary",97,"Unrated",NA,NA
"599","Requiem","/movies/?id=requiem.htm",9600,"IFC","October","Foreign",89,"Unrated",NA,NA
"600","Rec 3: Genesis","/movies/?id=rec3.htm",9600,"Magnolia","September","Foreign / Horror",80,"R",NA,NA
"601","On the Other Side of the Tracks","/movies/?id=othersideofthetracks.htm",9572,"Weinstein Company","April","Foreign",96,"R",NA,NA
"602","Vito Bonafacci","/movies/?id=vitobonafacci.htm",9570,"CAVU","May","Drama",97,"Unrated",NA,NA
"603","Blackballed: The Bobby Dukes Story","/movies/?id=blackballed.htm",9528,"The 7th Floor","April","Comedy",90,"Unrated",NA,NA
"604","The Lost Arcade","/movies/?id=thelostarcade.htm",9522,"26 Aries","August","Documentary",79,"Unrated",NA,NA
"605","Still Life (2015)","/movies/?id=stilllife2015.htm",9481,"Tribeca Film","January","Comedy / Drama",92,"Unrated",NA,NA
"606","In the House of Flies","/movies/?id=inthehouseoftheflies.htm",9480,"Parade Deck Films","May","Thriller",92,"Unrated",NA,NA
"607","Tru Loved","/movies/?id=truloved.htm",9467,"Regent Releasing","October","Drama",99,"R",NA,"Stewart Wade"
"608","The Sasquatch Gang","/movies/?id=sasquatchgang.htm",9458,"Screen Media","November","Comedy",84,"PG-13",NA,NA
"609","Northern Lights (2013 re-release)","/movies/?id=northernlights.htm",9453,"APD/Cinema Conservancy","September","Drama",95,"Unrated",NA,NA
"610","As Tears Go By","/movies/?id=astearsgoby.htm",9436,"Kino","May","Foreign",102,"Unrated",NA,"Wong Kar Wai"
"611","If I Were You","/movies/?id=ifiwereyou.htm",9432,"Kino Lorber","March","Comedy / Drama",115,"R",NA,NA
"612","Zero Charisma","/movies/?id=zerocharisma.htm",9417,"Tribeca Film","October","Comedy",86,"Unrated",NA,NA
"613","One Cut, One Life","/movies/?id=onecutonelife.htm",9406,"First Run","May","Documentary",105,"Unrated",NA,NA
"614","Smiley Face","/movies/?id=smileyface.htm",9397,"First Look","November","Comedy",85,"R",NA,"Gregg Araki"
"615","Crazy Like a Fox","/movies/?id=crazylikeafox.htm",9376,"Delphi Film Foundation","May","Comedy",98,"PG-13",NA,NA
"616","Radio Free Albemuth","/movies/?id=radiofreealbemuth.htm",9365,"Freestyle Releasing","June","Sci-Fi",111,"R",NA,NA
"617","Young People Fucking","/movies/?id=youngpeoplefucking.htm",9359,"Blowtorch Entertainment","August","Comedy",91,"Unrated",NA,NA
"618","The End of Love","/movies/?id=endoflove.htm",9342,"Variance Films","March","Drama",90,"Unrated",NA,NA
"619","200 Cartas","/movies/?id=200cartas.htm",9338,"Vanguardia Films","June","Romantic Comedy",97,"Unrated",NA,NA
"620","The Immortalists","/movies/?id=immortalists.htm",9331,"Gathr Films","November","Documentary",78,"Unrated",NA,NA
"621","Better Mus' Come","/movies/?id=bettermuscome.htm",9318,"AFFRM","March","Crime Drama",104,"Unrated",NA,NA
"622","Honeymoon","/movies/?id=honeymoon.htm",9318,"Magnolia","September","Horror",87,"R",NA,NA
"623","Rolling Family","/movies/?id=rollingfamily.htm",9291,"Palm","September","Foreign",106,"Unrated",NA,NA
"624","Chosen","/movies/?id=chosen16.htm",9283,"Medallion","December","Historical Drama",93,"R",NA,NA
"625","The City Dark","/movies/?id=citydark.htm",9269,"Argot Pictures","January","Documentary",83,"Unrated",NA,NA
"626","Hooligan Sparrow","/movies/?id=hooligansparrow.htm",9263,"The Film Collaborative","July","Documentary",84,"Unrated",NA,NA
"627","Illusion","/movies/?id=illusion.htm",9261,"Slowhand Cinema","February","Drama",106,"PG-13",NA,NA
"628","Crossing the Line","/movies/?id=crossingtheline07.htm",9258,"Kino","August","Documentary",90,"Unrated",NA,NA
"629","The Sacrament","/movies/?id=sacrament.htm",9221,"Magnolia","June","Horror",100,"R",NA,"Ti West"
"630","The Ledge","/movies/?id=ledge.htm",9216,"IFC","July","Thriller",100,"R",NA,NA
"631","11 Flowers","/movies/?id=11flowers.htm",9213,"First Run","February","Foreign",110,"Unrated",NA,NA
